Archivo,SOC_INIT,SOC_END,DIF_SOC,POWER_CONSUMED,DISTANCIA,DURACION
Ride_340.csv,72.7893,72.7001,0.0892,0.0,0.005,0:00:21
Ride_341.csv,97.0005,95.0001,2.0004,400.0,3.853,0:08:18
Ride_342.csv,94.7894,93.7263,1.0631,240.0,5.133,0:10:28
Ride_343.csv,93.5151,65.4864,28.0287,5920.0,7.247,0:20:44
Ride_344.csv,57.8729,59.0991,-1.2262,-320.0,1.736,0:03:23
Ride_345.csv,45.8082,44.5248,1.2834,240.0,3.725,0:11:40
Ride_346.csv,94.6591,94.4688,0.1903,80.0,0.044,0:00:41
Ride_347.csv,72.6244,68.655,3.9694,800.0,6.454,0:09:23
Ride_348.csv,61.2797,56.9699,4.3098,880.0,10.714,0:17:26
Ride_349.csv,95.7156,95.3398,0.3758,80.0,2.116,0:04:59
Ride_35.csv,51.1241,53.5051,-2.381,-560.0,2.553,0:06:22
Ride_350.csv,84.3982,83.6537,0.7445,160.0,3.732,0:09:53
Ride_351.csv,97.0799,95.7297,1.3502,240.0,3.776,0:09:29
Ride_352.csv,87.8961,87.8096,0.0865,-80.0,3.782,0:10:09
Ride_353.csv,87.667,85.4703,2.1967,320.0,1.169,0:11:59
Ride_354.csv,78.2174,79.3837,-1.1663,-320.0,3.741,0:08:20
Ride_355.csv,81.1864,80.6829,0.5035,80.0,4.193,0:12:58
Ride_357.csv,73.2307,71.8702,1.3605,240.0,1.441,0:05:08
Ride_358.csv,70.3277,70.3051,0.0226,-80.0,1.819,0:01:45
Ride_359.csv,62.2775,58.782,3.4955,720.0,8.426,0:20:51
Ride_36.csv,78.739,78.136,0.603,80.0,3.878,0:15:00
Ride_360.csv,96.9943,95.0892,1.9051,400.0,3.834,0:10:10
Ride_361.csv,69.9555,69.9555,0.0,0.0,0.0,0:00:00
Ride_362.csv,68.756,68.079,0.677,240.0,4.131,0:04:17
Ride_363.csv,56.427,56.98,-0.553,-160.0,3.702,0:11:49
Ride_364.csv,49.3459,48.7574,0.5885,80.0,1.399,0:04:17
Ride_365.csv,62.1327,57.7535,4.3792,880.0,5.769,0:09:37
Ride_366.csv,97.0481,95.5472,1.5009,240.0,3.937,0:10:05
Ride_367.csv,86.2424,84.9513,1.2911,240.0,3.775,0:08:39
Ride_368.csv,75.029,75.2001,-0.1711,-160.0,3.836,0:13:16
Ride_369.csv,67.9357,70.8321,-2.8964,-640.0,2.64,0:11:39
Ride_37.csv,76.3124,76.2499,0.0625,0.0,0.125,0:03:53
Ride_370.csv,69.9758,70.0163,-0.0405,0.0,0.337,0:01:55
Ride_371.csv,69.725,68.8864,0.8386,160.0,0.354,0:13:35
Ride_372.csv,61.3098,61.3095,0.0003,0.0,0.0,0:00:05
Ride_374.csv,56.5764,54.9152,1.6612,320.0,1.631,0:01:35
Ride_375.csv,78.8465,79.167,-0.3205,-80.0,1.304,0:04:24
Ride_376.csv,77.7875,76.6973,1.0902,160.0,0.746,0:05:03
Ride_377.csv,78.74,64.6486,14.0914,3120.0,14.74,0:16:40
Ride_378.csv,96.8736,96.7928,0.0808,0.0,0.731,0:01:10
Ride_379.csv,95.8519,86.1609,9.691,2080.0,6.908,0:20:33
Ride_38.csv,74.0221,61.4613,12.5608,2720.0,14.528,0:53:12
Ride_380.csv,77.3958,66.3069,11.0889,2400.0,6.219,0:30:40
Ride_381.csv,78.4489,76.8414,1.6075,320.0,0.616,0:06:40
Ride_382.csv,49.3251,50.1699,-0.8448,-160.0,2.493,0:09:01
Ride_384.csv,46.7253,47.8992,-1.1739,-320.0,1.487,0:03:16
Ride_385.csv,78.8123,78.8825,-0.0702,0.0,0.166,0:00:22
Ride_386.csv,63.5022,58.7827,4.7195,960.0,1.747,0:03:04
Ride_387.csv,36.6933,34.7694,1.9239,320.0,0.556,0:01:08
Ride_388.csv,97.0243,95.3516,1.6727,240.0,3.755,0:11:59
Ride_389.csv,92.4584,92.4584,0.0,0.0,0.0,0:00:00
Ride_39.csv,55.562,55.7744,-0.2124,-160.0,4.366,0:21:38
Ride_391.csv,81.2866,72.1759,9.1107,1920.0,13.66,0:21:37
Ride_392.csv,64.813,66.455,-1.642,-400.0,3.287,0:09:06
Ride_393.csv,66.3227,66.3418,-0.0191,-80.0,0.583,0:03:32
Ride_394.csv,59.6193,61.7783,-2.159,-480.0,1.518,0:02:48
Ride_395.csv,62.1717,62.1001,0.0716,0.0,0.016,0:00:30
Ride_396.csv,61.9469,61.5447,0.4022,80.0,0.614,0:01:42
Ride_397.csv,94.8001,94.65,0.1501,80.0,0.154,0:01:59
Ride_398.csv,86.6593,86.3001,0.3592,0.0,3.688,0:10:45
Ride_399.csv,74.7207,74.9623,-0.2416,-80.0,1.601,0:03:17
Ride_4.csv,40.193,41.5512,-1.3582,-240.0,0.081,0:02:07
Ride_40.csv,62.6187,64.586,-1.9673,-480.0,3.825,0:10:48
Ride_400.csv,74.8466,67.2138,7.6328,1520.0,3.823,0:13:20
Ride_401.csv,67.3012,68.5167,-1.2155,-320.0,2.183,0:05:36
Ride_402.csv,68.7427,67.6786,1.0641,160.0,2.311,0:12:50
Ride_403.csv,66.4291,66.4058,0.0233,0.0,0.141,0:00:40
Ride_405.csv,87.4609,87.4001,0.0608,0.0,4.092,0:13:18
Ride_406.csv,87.2365,83.7289,3.5076,640.0,3.386,0:07:47
Ride_407.csv,74.7484,76.2001,-1.4517,-400.0,3.776,0:09:23
Ride_408.csv,74.7964,72.7005,2.0959,480.0,2.295,0:08:55
Ride_409.csv,72.6512,72.4952,0.156,0.0,0.123,0:06:02
Ride_41.csv,64.431,58.3766,6.0544,1280.0,9.594,0:16:11
Ride_410.csv,66.4304,68.2094,-1.779,-400.0,3.097,0:06:54
Ride_411.csv,60.9051,59.5469,1.3582,240.0,2.168,0:07:53
Ride_412.csv,59.4343,59.1475,0.2868,0.0,0.862,0:03:34
Ride_413.csv,96.9981,96.6781,0.32,0.0,1.482,0:03:23
Ride_414.csv,95.6194,95.4784,0.141,80.0,0.441,0:01:14
Ride_415.csv,92.9111,88.1524,4.7587,1040.0,2.198,0:05:37
Ride_416.csv,88.3217,87.248,1.0737,80.0,3.036,0:12:29
Ride_417.csv,60.9949,63.1742,-2.1793,-480.0,3.954,0:09:23
Ride_418.csv,96.9143,94.6558,2.2585,400.0,3.602,0:11:13
Ride_419.csv,89.5658,89.3032,0.2626,80.0,0.016,0:01:53
Ride_42.csv,58.1874,49.5118,8.6756,1920.0,6.436,0:11:57
Ride_420.csv,74.7574,65.1792,9.5782,2080.0,11.522,0:23:40
Ride_421.csv,55.9808,50.7001,5.2807,1040.0,9.912,0:26:10
Ride_422.csv,50.5888,50.5479,0.0409,0.0,0.017,0:01:30
Ride_423.csv,50.3824,45.6747,4.7077,1040.0,3.254,0:09:58
Ride_424.csv,96.4312,90.7908,5.6404,1120.0,8.264,0:18:48
Ride_425.csv,60.4403,53.1001,7.3402,1520.0,3.399,0:11:50
Ride_426.csv,97.002,89.2001,7.8019,1600.0,10.122,0:26:00
Ride_427.csv,97.0238,91.3756,5.6482,1200.0,8.56,0:23:04
Ride_428.csv,91.2434,87.8499,3.3935,640.0,3.516,0:06:37
Ride_429.csv,79.983,74.2766,5.7064,1200.0,4.469,0:05:41
Ride_43.csv,43.0974,42.5671,0.5303,-80.0,3.783,0:10:35
Ride_430.csv,95.4779,92.3069,3.171,720.0,2.681,0:04:03
Ride_431.csv,71.9513,70.1063,1.845,320.0,8.293,0:18:28
Ride_432.csv,96.838,95.4883,1.3497,160.0,3.896,0:07:55
Ride_433.csv,71.8817,66.465,5.4167,1120.0,3.496,0:13:55
Ride_434.csv,62.1865,62.1927,-0.0062,0.0,2.552,0:12:13
Ride_44.csv,78.9568,62.725,16.2318,3520.0,11.899,0:54:32
Ride_45.csv,52.4365,52.3192,0.1173,-80.0,0.612,0:05:44
Ride_46.csv,77.919,75.2783,2.6407,560.0,1.188,0:08:07
Ride_47.csv,75.1422,74.3491,0.7931,160.0,0.744,0:02:48
Ride_48.csv,74.2832,64.8731,9.4101,2000.0,3.823,0:13:59
Ride_49.csv,64.808,66.2128,-1.4048,-320.0,3.482,0:09:08
Ride_5.csv,42.6617,41.7308,0.9309,160.0,4.676,0:13:48
Ride_50.csv,58.8684,45.0387,13.8297,3120.0,13.43,0:47:20
Ride_51.csv,51.9363,50.9719,0.9644,160.0,12.095,0:32:09
Ride_52.csv,60.1936,56.9055,3.2881,720.0,6.462,0:11:07
Ride_53.csv,78.7503,78.1011,0.6492,160.0,3.829,0:10:25
Ride_54.csv,77.9515,75.887,2.0645,320.0,2.455,0:07:40
Ride_55.csv,75.6912,64.4464,11.2448,2400.0,5.327,0:12:17
Ride_56.csv,64.3122,64.8046,-0.4924,-160.0,3.871,0:10:42
Ride_57.csv,64.6645,62.6178,2.0467,320.0,2.145,0:07:43
Ride_58.csv,48.4957,42.5999,5.8958,1280.0,9.432,0:43:22
